,Unnamed: 0,trial,n,r,order,SNR,mode,slices,alpha,beta,delta,gamma,time,adaptive,inner_als,rel_error,matrix budget,total budget,revealed,post_als_rel_error,just_als_rel_error
0,0,0,50,4,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.2694122903048992,True,False,0.9918274691486808,4900,6500,0.052,0.1499797367053275,0.1653612525844831
1,1,1,50,4,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.2257685959339141,True,False,0.8460977106752058,4900,6500,0.052,0.1266361679922146,0.1453630482202423
2,2,2,50,4,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.2247753366827964,True,False,0.4355756418204949,4900,6500,0.052,0.1484960592124356,0.1669925204766829
3,3,3,50,4,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.2331288196146488,True,False,0.6499058375483368,4900,6500,0.052,0.1505392340721523,0.1696758831113549
4,4,4,50,4,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.2311878018081188,True,False,1.0129773862186158,4900,6500,0.052,0.1167756530806309,0.1653786528597793
5,5,5,50,4,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.2318548895418644,True,False,0.8971811222475996,4900,6500,0.052,0.1297715461423887,0.1478171226859053
6,6,6,50,4,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.2265247032046318,True,False,0.3731469372805817,4900,6500,0.052,0.1215028647776252,0.1569488868484636
7,7,7,50,4,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.2301127053797245,True,False,0.9925245289617566,4900,6500,0.052,0.1568812631629293,0.1974679407927153
8,8,8,50,4,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.2220854386687278,True,False,0.7715627176411225,4900,6500,0.052,0.145837478001395,0.1719970701822611
9,9,9,50,4,3,10.0,deli,2,1.0,0.5,8.0,0.7,0.2164278775453567,True,False,0.9951433701856088,4900,6500,0.052,0.133192879544682,0.1760225332170696
10,10,0,50,8,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.2806555349379778,True,False,0.0250882709768436,4630,7830,0.06264,0.0030368815504814,0.1573254890700005
11,11,1,50,8,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.2185584474354982,True,False,0.0151144938411309,4630,7830,0.06264,0.0051549794320473,0.1528381700260774
12,12,2,50,8,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.2203189544379711,True,False,0.0479068036884633,4620,7820,0.06256,0.0262610164699457,0.1289650440091952
13,13,3,50,8,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.2156990952789783,True,False,0.0106508966395236,4620,7820,0.06256,0.0016961018789796,0.1415093418599463
14,14,4,50,8,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.2183127664029598,True,False,0.0688521838862962,4650,7850,0.0628,0.007164312200677,0.1760882791142033
15,15,5,50,8,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.2183686830103397,True,False,0.0159272951995847,4640,7840,0.06272,0.0030736007471961,0.1606905005251915
16,16,6,50,8,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.2147156931459903,True,False,0.0325379810812379,4600,7800,0.0624,0.0071068556763033,0.1580207409868693
17,17,7,50,8,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.2174673024564981,True,False,0.0035648500934977,4630,7830,0.06264,0.0005002996342671,0.1566177358823909
18,18,8,50,8,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.2149300184100866,True,False,0.026277169788692,4600,7800,0.0624,0.0050795173749514,0.1738234019793272
19,19,9,50,8,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.2103628180921077,True,False,0.1302110211631431,4620,7820,0.06256,0.0260945918545732,0.1608333883674514
20,20,0,50,6,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.3985918872058391,True,False,0.4343118023126395,4560,6960,0.05568,0.0602325574730584,0.1599515632231669
21,21,1,50,6,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.3028783816844225,True,False,3.649078576748132e-05,4560,6960,0.05568,1.4322026793998008e-05,0.147656981729886
22,22,2,50,6,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2958046682178974,True,False,0.0001017483028298,4560,6960,0.05568,1.3757658010631624e-05,0.1402138315067515
23,23,3,50,6,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2645831946283579,True,False,1.7624965047736435e-05,4560,6960,0.05568,2.167998545015552e-06,0.1795509948840851
24,24,4,50,6,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2629894074052572,True,False,2.5761263755136827e-05,4560,6960,0.05568,2.275344645814363e-06,0.1574571509389583
25,25,5,50,6,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2984196003526449,True,False,4.985513780267234e-05,4560,6960,0.05568,4.838366774657214e-06,0.1622749479483045
26,26,6,50,6,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2474278789013624,True,False,1.690948260345428e-05,4560,6960,0.05568,1.218971546634958e-06,0.1611393811841131
27,27,7,50,6,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2795773092657327,True,False,1.5645599357453025e-05,4560,6960,0.05568,2.2751141830589026e-06,0.1376569811164154
28,28,8,50,6,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.3023323714733124,True,False,5.891445613790476e-05,4560,6960,0.05568,2.868338899863544e-05,0.1771778327697304
29,29,9,50,6,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2719185929745435,True,False,1.2078177537587393e-05,4560,6960,0.05568,2.0925549365121425e-06,0.1677891725473119
40,40,0,50,6,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.4548588432371616,True,False,0.0037131842662647,4560,6960,0.05568,0.0005838653496151,0.1531052748621923
41,41,1,50,6,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.3521720208227634,True,False,0.0019973805472077,4570,6970,0.05576,0.0004851883387016,0.1698512983270883
42,42,2,50,6,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.2678432799875736,True,False,0.0018469253375973,4570,6970,0.05576,0.0002532794679928,0.1750371889978717
43,43,3,50,6,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.3237317726016044,True,False,0.0007242374650825,4560,6960,0.05568,0.0003023202361189,0.1564692687911267
44,44,4,50,6,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.2845195010304451,True,False,0.0010763938043228,4560,6960,0.05568,0.0002944086725486,0.1539454185090321
45,45,5,50,6,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.288107480853796,True,False,0.0157522755764381,4560,6960,0.05568,0.0018613482331227,0.1556575539775069
46,46,6,50,6,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.3176259398460388,True,False,0.000944126280072,4560,6960,0.05568,0.00026299240228,0.1514136991795252
47,47,7,50,6,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.3178983554244041,True,False,0.0006415761984062,4560,6960,0.05568,0.0002195104880134,0.1528263154257507
48,48,8,50,6,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.3169001452624798,True,False,0.0032066610971223,4560,6960,0.05568,0.0013640247430148,0.1651564327614993
49,49,9,50,6,3,40.0,deli,2,1.0,0.5,8.0,0.7,0.3182039000093937,True,False,0.0046410363418968,4560,6960,0.05568,0.0004815382411164,0.1802920729247054
50,50,0,50,4,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.1488758140039863,True,False,7.209153628731718e-06,4540,6140,0.04912,6.262003118889019e-07,0.1666795015899588
51,51,1,50,4,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.1892766700038919,True,False,2.561994546383605e-05,4540,6140,0.04912,1.6622315718626548e-06,0.144106422936328
52,52,2,50,4,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2030507189992931,True,False,0.0289749897007043,4540,6140,0.04912,0.0040281333525213,0.1746197761615589
53,53,3,50,4,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2025804209988564,True,False,0.0005429335059809,4540,6140,0.04912,9.789848183072844e-05,0.162352775831098
54,54,4,50,4,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.1826960039979894,True,False,1.9686550905892385e-05,4540,6140,0.04912,2.575395285388031e-06,0.1770320559138582
