,trial,n,r,order,SNR,mode,slices,alpha,beta,delta,gamma,time,adaptive,inner_als,rel_error,matrix budget,total budget,revealed,post_als_rel_error,just_als_rel_error
0,0,110,11,3,inf,deli,2,1.0,0.5,8.0,0.7,3.93452337384224,True,False,0.0057780060233183,22022,31702,0.0238181818181818,0.0038005120189438,0.1503933637187293
1,1,110,11,3,inf,deli,2,1.0,0.5,8.0,0.7,3.949007896706462,True,False,0.000276494037384,22022,31702,0.0238181818181818,0.0001301726591405,0.1433581460103214
2,2,110,11,3,inf,deli,2,1.0,0.5,8.0,0.7,5.604398699477315,True,False,0.0043843159999848,22022,31702,0.0238181818181818,0.001647436332658,0.1539535727947875
3,3,110,11,3,inf,deli,2,1.0,0.5,8.0,0.7,4.028904249891639,True,False,0.0145079767184601,22022,31702,0.0238181818181818,0.0018685920729524,0.1499938934616366
4,4,110,11,3,inf,deli,2,1.0,0.5,8.0,0.7,4.15137704461813,True,False,0.0028085686950098,22022,31702,0.0238181818181818,0.0005697972329668,0.1458568475420355
5,5,110,11,3,inf,deli,2,1.0,0.5,8.0,0.7,3.8742829002439976,True,False,0.031275595125022,22022,31702,0.0238181818181818,0.0130188703912637,0.1415080159950467
6,6,110,11,3,inf,deli,2,1.0,0.5,8.0,0.7,3.893853364512324,True,False,0.0354741263953941,22000,31680,0.0238016528925619,0.0106618878451794,0.1541908237180113
7,7,110,11,3,inf,deli,2,1.0,0.5,8.0,0.7,3.966985698789358,True,False,0.0208074361138886,22022,31702,0.0238181818181818,0.0051523860177334,0.1573232370437197
8,8,110,11,3,inf,deli,2,1.0,0.5,8.0,0.7,4.007693422958255,True,False,0.0016286830252506,22022,31702,0.0238181818181818,0.0002916108236038,0.1521698514020214
9,9,110,11,3,inf,deli,2,1.0,0.5,8.0,0.7,2.999335527420044,True,False,2.107831032420177e-14,22022,31702,0.0238181818181818,3.524711147016783e-15,0.1434165964723369
10,0,80,8,3,inf,deli,2,1.0,0.5,8.0,0.7,1.001992605626583,True,False,2.36051724234789e-13,11648,16768,0.03275,8.380996087920368e-14,0.1409649645065739
11,1,80,8,3,inf,deli,2,1.0,0.5,8.0,0.7,1.1764281764626503,True,False,0.0015904740065665,11648,16768,0.03275,0.0003217435402338,0.1543699312522891
12,2,80,8,3,inf,deli,2,1.0,0.5,8.0,0.7,1.1445699017494917,True,False,0.0025365758615207,11648,16768,0.03275,0.0011365418545342,0.1500388076268559
13,3,80,8,3,inf,deli,2,1.0,0.5,8.0,0.7,1.1684374045580626,True,False,0.0046163411411588,11648,16768,0.03275,0.0017723789478154,0.1591252823515049
14,4,80,8,3,inf,deli,2,1.0,0.5,8.0,0.7,0.9256244581192732,True,False,8.408127447682331e-15,11648,16768,0.03275,2.771575935120342e-15,0.1551208449019822
15,5,80,8,3,inf,deli,2,1.0,0.5,8.0,0.7,1.2227162551134825,True,False,0.004054716117724,11648,16768,0.03275,0.0007333430711127,0.1425089379885992
16,6,80,8,3,inf,deli,2,1.0,0.5,8.0,0.7,1.1820409912616014,True,False,0.0091325634614956,11648,16768,0.03275,0.0006003391346968,0.1355382453651506
17,7,80,8,3,inf,deli,2,1.0,0.5,8.0,0.7,1.202374516054988,True,False,0.0167194559259676,11648,16768,0.03275,0.0045773356803398,0.1530254069665592
18,8,80,8,3,inf,deli,2,1.0,0.5,8.0,0.7,1.1902841534465551,True,False,0.0029286652444122,11648,16768,0.03275,0.0011421173332441,0.1664812609459098
19,9,80,8,3,inf,deli,2,1.0,0.5,8.0,0.7,0.9362737238407136,True,False,2.8685043830511964e-14,11648,16768,0.03275,6.924036827010365e-15,0.1544540688150317
20,0,60,6,3,inf,deli,2,1.0,0.5,8.0,0.7,0.4257824886590242,True,False,1.1591964162806965e-13,6552,9432,0.0436666666666666,5.3839670309516025e-15,0.1491055971440585
21,1,60,6,3,inf,deli,2,1.0,0.5,8.0,0.7,0.401072084903717,True,False,5.4181719489317655e-15,6552,9432,0.0436666666666666,2.1547498825101374e-15,0.1547508984280354
22,2,60,6,3,inf,deli,2,1.0,0.5,8.0,0.7,0.3979474958032369,True,False,1.8635431804056868e-14,6552,9432,0.0436666666666666,3.4404128440239788e-15,0.1724827937323538
23,3,60,6,3,inf,deli,2,1.0,0.5,8.0,0.7,0.4002155736088753,True,False,4.178230604654636e-15,6552,9432,0.0436666666666666,2.35935645457896e-15,0.1777883905790051
24,4,60,6,3,inf,deli,2,1.0,0.5,8.0,0.7,0.4056835323572159,True,False,1.635526238296592e-14,6552,9432,0.0436666666666666,2.1743264118346087e-15,0.1564499847567375
25,5,60,6,3,inf,deli,2,1.0,0.5,8.0,0.7,0.4062063563615083,True,False,7.038674931416002e-14,6552,9432,0.0436666666666666,4.1204071349657146e-14,0.1597873811020288
26,6,60,6,3,inf,deli,2,1.0,0.5,8.0,0.7,0.4004767034202814,True,False,5.809202457439912e-15,6552,9432,0.0436666666666666,1.8898602073642184e-15,0.1619555622304113
27,7,60,6,3,inf,deli,2,1.0,0.5,8.0,0.7,0.3939999565482139,True,False,2.5502915601859276e-14,6552,9432,0.0436666666666666,6.848994529828647e-15,0.1677677821787113
28,8,60,6,3,inf,deli,2,1.0,0.5,8.0,0.7,0.4404533002525568,True,False,0.0216650739630628,6552,9432,0.0436666666666666,0.0037558885600058,0.1572606719208275
29,9,60,6,3,inf,deli,2,1.0,0.5,8.0,0.7,0.4565794486552477,True,False,0.0005367926137411,6552,9432,0.0436666666666666,5.491767903306697e-05,0.1720244496141116
30,0,100,10,3,inf,deli,2,1.0,0.5,8.0,0.7,2.1218107882887125,True,False,1.9677274144224416e-14,18200,26200,0.0262,9.844046092754049e-15,0.1503114499670334
31,1,100,10,3,inf,deli,2,1.0,0.5,8.0,0.7,2.113994348794222,True,False,1.397144203924822e-13,18200,26200,0.0262,5.0527939079719625e-14,0.1316306984123326
32,2,100,10,3,inf,deli,2,1.0,0.5,8.0,0.7,2.03594059497118,True,False,3.8934808503913034e-14,18200,26200,0.0262,2.1028677130663567e-14,0.1599995143878526
33,3,100,10,3,inf,deli,2,1.0,0.5,8.0,0.7,2.836494008079171,True,False,0.0013184352177858,18200,26200,0.0262,0.0005300932285967,0.1323674639335304
34,4,100,10,3,inf,deli,2,1.0,0.5,8.0,0.7,2.687519596889615,True,False,0.0157516726106816,18200,26200,0.0262,0.0083918708449252,0.1424600728768986
35,5,100,10,3,inf,deli,2,1.0,0.5,8.0,0.7,2.0708694104105234,True,False,2.1536742663489932e-14,18200,26200,0.0262,4.9240510452512015e-15,0.1592306030964944
36,6,100,10,3,inf,deli,2,1.0,0.5,8.0,0.7,2.768188731744885,True,False,0.0363917036870807,18200,26200,0.0262,0.0070744424605975,0.1559422126583042
37,7,100,10,3,inf,deli,2,1.0,0.5,8.0,0.7,2.687303639948368,True,False,0.0201375508014583,18200,26200,0.0262,0.0119845200009094,0.1535608821437955
38,8,100,10,3,inf,deli,2,1.0,0.5,8.0,0.7,2.838633494451642,True,False,0.0144364281530802,18200,26200,0.0262,0.0067322480850688,0.1530757859957341
39,9,100,10,3,inf,deli,2,1.0,0.5,8.0,0.7,2.768682913854718,True,False,0.0037699886348009,18200,26200,0.0262,0.0011149207483284,0.1456894893769297
40,0,70,7,3,inf,deli,2,1.0,0.5,8.0,0.7,0.5965673513710499,True,False,9.601099392356925e-15,8918,12838,0.0374285714285714,3.0548602520447228e-15,0.1655282043184736
41,1,70,7,3,inf,deli,2,1.0,0.5,8.0,0.7,0.7656009942293167,True,False,0.004255890927077,8918,12838,0.0374285714285714,0.0017229061254638,0.1542115810872613
42,2,70,7,3,inf,deli,2,1.0,0.5,8.0,0.7,0.590246893465519,True,False,1.7226266615420078e-14,8918,12838,0.0374285714285714,5.381623431191736e-15,0.1757160562633607
43,3,70,7,3,inf,deli,2,1.0,0.5,8.0,0.7,0.7246726099401712,True,False,0.0023810612061423,8918,12838,0.0374285714285714,0.0010200280270171,0.1654093732520258
44,4,70,7,3,inf,deli,2,1.0,0.5,8.0,0.7,0.739075792953372,True,False,0.091706737160747,8918,12838,0.0374285714285714,0.0218235444986218,0.1574190547143965
45,5,70,7,3,inf,deli,2,1.0,0.5,8.0,0.7,0.7302068378776312,True,False,0.0466333073787159,8918,12838,0.0374285714285714,0.0236440869576289,0.1627947118063501
46,6,70,7,3,inf,deli,2,1.0,0.5,8.0,0.7,0.7256483398377895,True,False,0.001331703640816,8918,12838,0.0374285714285714,0.000343233146228,0.1714233407965485
47,7,70,7,3,inf,deli,2,1.0,0.5,8.0,0.7,0.5732644852250814,True,False,2.3325068368840087e-14,8918,12838,0.0374285714285714,7.359241981827182e-15,0.1432989008032547
48,8,70,7,3,inf,deli,2,1.0,0.5,8.0,0.7,0.5839260946959257,True,False,2.580202026718313e-14,8918,12838,0.0374285714285714,5.339618081490812e-15,0.156385073932599
49,9,70,7,3,inf,deli,2,1.0,0.5,8.0,0.7,0.5839192010462284,True,False,3.313283370736499e-14,8918,12838,0.0374285714285714,4.696448701072839e-15,0.1741722672987168
50,0,90,9,3,inf,deli,2,1.0,0.5,8.0,0.7,2.053017919883132,True,False,0.0009288878281064,14742,21222,0.0291111111111111,0.0003289526137797,0.1516081711106058
51,1,90,9,3,inf,deli,2,1.0,0.5,8.0,0.7,1.7871532812714577,True,False,0.1006128276008835,14742,21222,0.0291111111111111,0.0202331810326295,0.1488722748153682
52,2,90,9,3,inf,deli,2,1.0,0.5,8.0,0.7,1.9407997839152813,True,False,0.0363002783312603,14742,21222,0.0291111111111111,0.0203645583394898,0.1633009145544673
53,3,90,9,3,inf,deli,2,1.0,0.5,8.0,0.7,1.4188415929675102,True,False,3.3555669950112065e-14,14742,21222,0.0291111111111111,1.823787630855448e-14,0.1637200468585429
