,trial,n,r,order,SNR,mode,slices,alpha,beta,delta,gamma,time,adaptive,inner_als,rel_error,matrix budget,total budget,revealed,post_als_rel_error,just_als_rel_error
0,0,100,5,4,inf,deli,2,2.0,0.5,8.0,0.6,364.42258110269904,False,False,0.0167687251116206,6000,19946,0.00019946,0.0010644890807829,0.1170674949501184
1,1,100,5,4,inf,deli,2,2.0,0.5,8.0,0.6,329.6508773267269,False,False,0.0014797936542664,6000,19958,0.00019958,0.0003980928079899,0.110539130810423
2,2,100,5,4,inf,deli,2,2.0,0.5,8.0,0.6,365.7775563113392,False,False,0.0072666767055255,6000,19948,0.00019948,0.0020503704644765,0.1190562295024796
3,3,100,5,4,inf,deli,2,2.0,0.5,8.0,0.6,347.54506877437234,False,False,0.0036170051253623,6000,19953,0.00019953,0.00092173767491,0.1154482636053193
4,4,100,5,4,inf,deli,2,2.0,0.5,8.0,0.6,330.1700346060097,False,False,0.0011236462823209,6000,19955,0.00019955,0.0005224783086255,0.1153520810593983
5,5,100,5,4,inf,deli,2,2.0,0.5,8.0,0.6,330.47432693839073,False,False,0.0011077448810507,6000,19942,0.00019942,0.0001096605415989,0.1028326804027958
6,6,100,5,4,inf,deli,2,2.0,0.5,8.0,0.6,365.8046125173569,False,False,0.0082137349730658,6000,19948,0.00019948,0.002001093159928,0.1062557626719157
7,7,100,5,4,inf,deli,2,2.0,0.5,8.0,0.6,329.9625878147781,False,False,0.0009472777909036,6000,19957,0.00019957,0.0001968265035335,0.1177553890445634
8,8,100,5,4,inf,deli,2,2.0,0.5,8.0,0.6,364.277256347239,False,False,0.001972679465014,6000,19959,0.00019959,0.000669075307548,0.1118589629351874
9,9,100,5,4,inf,deli,2,2.0,0.5,8.0,0.6,329.2446629367769,False,False,0.0006841628903893,6000,19949,0.00019949,4.776087109634577e-05,0.1080638351131166
10,0,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,568.7726720077917,False,False,0.1123935906636469,2000,19970,0.0001997,0.0252410934435754,0.1171794038780169
11,1,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,532.1698385626078,False,False,0.484749023189544,2000,19976,0.00019976,0.0555097448094888,0.1218862462070832
12,2,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,516.7945431442931,False,False,0.1827344065696053,2000,19965,0.00019965,0.0326890546716551,0.1195871500369765
13,3,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,431.4181066667661,False,False,0.1095883025532271,2000,19966,0.00019966,0.0318607070017102,0.1146972355818313
14,4,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,428.8850575741381,False,False,0.1095613914367717,2000,19966,0.00019966,0.0488245209263214,0.1193156625496386
15,5,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,402.0967001104728,False,False,0.1381354785879157,2000,19962,0.00019962,0.0311654061905478,0.1189230758137717
16,6,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,257.2045791056007,False,False,0.7094685337128532,2000,19975,0.00019975,0.0296695092660441,0.1156363870071422
17,7,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,317.1482806187123,False,False,0.1180094098605037,2000,19966,0.00019966,0.0348177195933529,0.1149318588296521
18,8,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,317.29594583343714,False,False,0.2844869987603971,2000,19966,0.00019966,0.0236679738111492,0.1232831839494438
19,9,100,10,4,inf,deli,2,2.0,0.5,8.0,0.2,284.46339164767414,False,False,0.3473045467197306,2000,19955,0.00019955,0.0360356340966646,0.1174363218162109
20,0,100,10,4,inf,deli,2,2.0,0.5,8.0,0.6,393.52677938342094,False,False,0.0038276357540027,6000,27894,0.00027894,0.001365235722768,0.1169564386146723
21,1,100,10,4,inf,deli,2,2.0,0.5,8.0,0.6,393.3164789862931,False,False,0.0109006200132271,6000,27911,0.00027911,0.0012587791815832,0.1217173427641103
22,2,100,10,4,inf,deli,2,2.0,0.5,8.0,0.6,394.3680830337107,False,False,0.0254871284487814,6000,27915,0.00027915,0.0096305129460941,0.1201791139116763
23,3,100,10,4,inf,deli,2,2.0,0.5,8.0,0.6,393.0865753553808,False,False,0.0290266251961935,6000,27913,0.00027913,0.0056916264572138,0.1166135704033572
24,4,100,10,4,inf,deli,2,2.0,0.5,8.0,0.6,392.0821851305664,False,False,0.0137783375153165,6000,27914,0.00027914,0.0010443149526871,0.1214033109551789
25,5,100,10,4,inf,deli,2,2.0,0.5,8.0,0.6,396.0331320203841,False,False,0.0058328572808808,6000,27909,0.00027909,0.0007883741562302,0.1102391827169072
26,6,100,10,4,inf,deli,2,2.0,0.5,8.0,0.6,391.8860075026751,False,False,0.0134079512341205,6000,27891,0.00027891,0.0028498996527443,0.1190667070071531
27,7,100,10,4,inf,deli,2,2.0,0.5,8.0,0.6,392.15522024035454,False,False,0.0067645431397105,6000,27909,0.00027909,0.0021887193411253,0.1283237529937578
28,8,100,10,4,inf,deli,2,2.0,0.5,8.0,0.6,392.03314589336514,False,False,0.1264393848291214,6000,27903,0.00027903,0.0139221448501074,0.1275633633938575
29,9,100,10,4,inf,deli,2,2.0,0.5,8.0,0.6,391.2751242034137,False,False,0.0103858443690529,6000,27901,0.00027901,0.0017282766017369,0.1203925805981942
30,0,100,10,4,inf,deli,2,2.0,0.5,8.0,0.3,448.8481424149941,False,False,0.1692334408729121,3000,21943,0.00021943,0.022405044652609,0.115228412504443
31,1,100,10,4,inf,deli,2,2.0,0.5,8.0,0.3,419.9314352090005,False,False,0.0680595207762899,3000,21947,0.00021947,0.0130620855151088,0.1167144630502367
32,2,100,10,4,inf,deli,2,2.0,0.5,8.0,0.3,448.3749043539865,False,False,0.0236070736454548,3000,21944,0.00021944,0.0069622722896317,0.1227206956426979
33,3,100,10,4,inf,deli,2,2.0,0.5,8.0,0.3,449.5766159060295,False,False,0.5268706464545052,3000,21953,0.00021953,0.0355127548023072,0.1101157714939466
34,4,100,10,4,inf,deli,2,2.0,0.5,8.0,0.3,447.8873673459748,False,False,0.247938863292481,3000,21959,0.00021959,0.0173309649486837,0.1141131228183278
35,5,100,10,4,inf,deli,2,2.0,0.5,8.0,0.3,449.1783032779931,False,False,0.5337340972263482,3000,21953,0.00021953,0.0087649178845545,0.1209025967587674
36,6,100,10,4,inf,deli,2,2.0,0.5,8.0,0.3,455.1547772759805,False,False,0.0911662799329605,3000,21944,0.00021944,0.0209061731220539,0.1150028335633646
