,trial,n,r,order,SNR,mode,alpha,sampling,tolerance,time,rel_error,revealed,post_als_rel_error
0,0,50,6,3,40.0,seq,1.0,"[0.7, 0.1]",0.001,1.7556381542235613,0.0020628438163509,0.19672,0.0395382751021003
1,1,50,6,3,40.0,seq,1.0,"[0.7, 0.1]",0.001,1.748697997070849,0.0037409295310145,0.19672,0.038894242643185
2,2,50,6,3,40.0,seq,1.0,"[0.7, 0.1]",0.001,1.747276528738439,0.0045957266698541,0.19672,0.0407684673393197
3,3,50,6,3,40.0,seq,1.0,"[0.7, 0.1]",0.001,1.7470434410497546,0.0016381247719509,0.19672,0.0332405162153441
4,4,50,6,3,40.0,seq,1.0,"[0.7, 0.1]",0.001,1.704513761214912,0.00352396794532,0.18272,0.0415646453183486
5,5,50,6,3,40.0,seq,1.0,"[0.7, 0.1]",0.001,1.7597915539518,0.0007108831582659,0.19672,0.045858370804237
6,6,50,6,3,40.0,seq,1.0,"[0.7, 0.1]",0.001,1.7137157171964643,0.0008178872906296,0.18272,0.036279519773984
7,7,50,6,3,40.0,seq,1.0,"[0.7, 0.1]",0.001,1.752004224807024,0.001006735455045,0.19672,0.0443183760266335
8,8,50,6,3,40.0,seq,1.0,"[0.7, 0.1]",0.001,1.7409308375790715,0.0011332473908746,0.19672,0.0440720474766597
9,9,50,6,3,40.0,seq,1.0,"[0.7, 0.1]",0.001,1.7791924346238377,0.0035327655040062,0.21072,0.0419333051157653
10,0,50,8,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,1.8359195590019224,0.006840909641809,0.25296,0.0443714847358242
11,1,50,8,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,1.9923559799790385,0.0084101419865323,0.29496,0.0341327375400883
12,2,50,8,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,2.0407338347285986,0.0086509308732989,0.32296,0.0376667206522913
13,3,50,8,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,1.798039625398815,0.0066651917470164,0.22496,0.0352386036604057
14,4,50,8,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,1.8110979795455933,0.0045492262979595,0.22496,0.0312511823669305
15,5,50,8,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,1.7968360548838973,0.0036024833887173,0.22496,0.0422889930676799
16,6,50,8,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,1.885314293205738,0.0052892499894623,0.25296,0.0384896614042822
17,7,50,8,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,1.7884560246020555,0.0064083804087638,0.22496,0.0380979876890674
18,8,50,8,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,1.8431285452097648,0.0029683083704396,0.23908,0.0314139071625508
19,9,50,8,3,30.0,seq,1.0,"[0.7, 0.1]",0.001,1.8274744572117925,0.0066279004732641,0.23896,0.027726123284842
30,0,50,8,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.6108266282826662,0.0012622808726186,0.19528,0.033029693610378
31,1,50,8,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.7354082223027945,0.0051527477033617,0.21928,0.0391911334194546
32,2,50,8,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.6545637166127565,0.0031691425552504,0.21928,0.039411127692064
33,3,50,8,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.6655039107427,0.0041912446960052,0.20728,0.0304511038874585
34,4,50,8,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.609812719747424,0.0020209869256272,0.20728,0.0345163470154321
35,5,50,8,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.7628987114876509,0.0021441958030457,0.23128,0.0441749859877862
36,6,50,8,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.646949970163405,0.0016707812172468,0.20728,0.027638176307572
37,7,50,8,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.7957421252503991,0.003457492844229,0.23128,0.0372812545279301
38,8,50,8,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.7202976318076253,0.0028520894099886,0.20728,0.0380784621057197
39,9,50,8,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.8163165347650647,0.0046033997675974,0.23128,0.0390305209585619
50,0,50,8,3,inf,seq,1.0,"[0.1, 0.1]",0.001,3.535210005939007,9.177587886466409,0.1998,8.824255474799502
51,1,50,8,3,inf,seq,1.0,"[0.1, 0.1]",0.001,3.5177310965955257,7.039186385518845,0.1998,6.892921182885294
52,2,50,8,3,inf,seq,1.0,"[0.1, 0.1]",0.001,3.5350314639508724,23.895646063855622,0.1998,23.82202026285588
53,3,50,8,3,inf,seq,1.0,"[0.1, 0.1]",0.001,3.516168205067516,8.491802658488277,0.1998,8.382538107972286
54,4,50,8,3,inf,seq,1.0,"[0.1, 0.1]",0.001,3.52257766854018,7.77230937648844,0.1998,7.511403230577573
55,5,50,8,3,inf,seq,1.0,"[0.1, 0.1]",0.001,3.527249448932708,6.841009098389783,0.1998,6.564133111041208
56,6,50,8,3,inf,seq,1.0,"[0.1, 0.1]",0.001,3.528727175667882,7.842954775736599,0.1998,7.481004421750056
57,7,50,8,3,inf,seq,1.0,"[0.1, 0.1]",0.001,3.537537695840001,5.884280475241803,0.1998,5.249565574332144
58,8,50,8,3,inf,seq,1.0,"[0.1, 0.1]",0.001,3.5393485268577933,49.43782416709605,0.1998,49.39446247653071
