,trial,n,r,order,SNR,mode,alpha,sampling,tolerance,time,rel_error,revealed,post_als_rel_error
0,0,120,12,3,inf,seq,1,"[0.7, 0.1]",0.001,168.8874882441014,0.0174501454921679,0.4202291666666666,0.0252414677515642
1,1,120,12,3,inf,seq,1,"[0.7, 0.1]",0.001,166.37409250438213,0.0166582187417419,0.4027291666666667,0.0255195476595617
2,2,120,12,3,inf,seq,1,"[0.7, 0.1]",0.001,175.01526688411832,0.0176071945503882,0.4610625,0.0285401093156606
3,3,120,12,3,inf,seq,1,"[0.7, 0.1]",0.001,158.92845709435642,0.0159563240271306,0.3560625,0.02323733323159
4,4,120,12,3,inf,seq,1,"[0.7, 0.1]",0.001,202.0015712976456,0.0219759445830571,0.6418958333333333,0.0332866123807484
5,5,120,12,3,inf,seq,1,"[0.7, 0.1]",0.001,139.39993683248758,0.0123868675281847,0.22775,0.0223577897459059
6,6,120,12,3,inf,seq,1,"[0.7, 0.1]",0.001,138.5294250752777,0.0111359081627039,0.2219166666666666,0.023725089693336
7,7,120,12,3,inf,seq,1,"[0.7, 0.1]",0.001,159.39802663587034,0.0161923018071754,0.3618958333333333,0.0233722255293307
8,8,120,12,3,inf,seq,1,"[0.7, 0.1]",0.001,149.70115581341088,0.0139745863198206,0.29775,0.0304169180862501
9,9,120,12,3,inf,seq,1,"[0.7, 0.1]",0.001,159.82591481506824,0.0159318441372202,0.3677291666666666,0.0280867951997026
10,0,110,11,3,inf,seq,1,"[0.7, 0.1]",0.001,116.12742672488092,0.0095991197982679,0.2139090909090909,0.0307972909092709
11,1,110,11,3,inf,seq,1,"[0.7, 0.1]",0.001,162.2998299729079,0.0182031006780852,0.5320909090909091,0.0325686449284274
12,2,110,11,3,inf,seq,1,"[0.7, 0.1]",0.001,117.53013769723476,0.0116019465055483,0.2266363636363636,0.0326093635300132
13,3,110,11,3,inf,seq,1,"[0.7, 0.1]",0.001,152.51680111512542,0.0170715836919253,0.4684297520661157,0.0299567735452513
14,4,110,11,3,inf,seq,1,"[0.7, 0.1]",0.001,115.06936287507416,0.0086932829481492,0.2075454545454545,0.0273998030736091
15,5,110,11,3,inf,seq,1,"[0.7, 0.1]",0.001,108.45077265240252,0.0125294221360771,0.2902727272727273,0.0242324591866456
16,6,110,11,3,inf,seq,1,"[0.7, 0.1]",0.001,86.1126715708524,0.006690397055821,0.1948181818181818,0.0236511205777319
17,7,110,11,3,inf,seq,1,"[0.7, 0.1]",0.001,85.24455736204982,0.0045346883312918,0.1884545454545454,0.0300192735482337
18,8,110,11,3,inf,seq,1,"[0.7, 0.1]",0.001,92.77046762779356,0.0130875595246778,0.2648181818181818,0.0304497596190523
19,9,110,11,3,inf,seq,1,"[0.7, 0.1]",0.001,89.68027459271252,0.0111031543370386,0.233,0.0298197858783863
20,0,70,7,3,inf,seq,1,"[0.7, 0.1]",0.001,9.350120833143592,0.0022933550654978,0.179,0.0345864721461783
21,1,70,7,3,inf,seq,1,"[0.7, 0.1]",0.001,8.99792368337512,0.0045181040642524,0.169,0.0368517331730199
22,2,70,7,3,inf,seq,1,"[0.7, 0.1]",0.001,9.92708821967244,0.002274138804805,0.179,0.0365791673829586
23,3,70,7,3,inf,seq,1,"[0.7, 0.1]",0.001,10.049051374197006,0.0022691721272797,0.179,0.0340690523270146
24,4,70,7,3,inf,seq,1,"[0.7, 0.1]",0.001,10.082698114216328,0.0074954921704199,0.189,0.029487129736198
25,5,70,7,3,inf,seq,1,"[0.7, 0.1]",0.001,10.081301687285304,0.0031591143255912,0.189,0.0428705411002442
26,6,70,7,3,inf,seq,1,"[0.7, 0.1]",0.001,10.225461171939967,0.0035707951741662,0.189,0.0385498238566934
27,7,70,7,3,inf,seq,1,"[0.7, 0.1]",0.001,10.36286075413227,0.0066387234429472,0.199,0.0388504930680984
28,8,70,7,3,inf,seq,1,"[0.7, 0.1]",0.001,9.966640135273336,0.0039973016447047,0.179,0.0355298249601079
29,9,70,7,3,inf,seq,1,"[0.7, 0.1]",0.001,9.716587543487549,0.0046975170242463,0.179,0.0385403772317088
30,0,60,6,3,inf,seq,1,"[0.7, 0.1]",0.001,2.6669704196974635,0.0026005573807796,0.1921666666666666,0.0534525712395857
31,1,60,6,3,inf,seq,1,"[0.7, 0.1]",0.001,2.591194299980998,0.0024326927061975,0.1805,0.044246319108072
32,2,60,6,3,inf,seq,1,"[0.7, 0.1]",0.001,2.5080909123644237,0.0047763381249457,0.1688333333333333,0.0439566442822702
33,3,60,6,3,inf,seq,1,"[0.7, 0.1]",0.001,2.670745844952762,0.0067461205746706,0.1921666666666666,0.0397417666977292
34,4,60,6,3,inf,seq,1,"[0.7, 0.1]",0.001,2.508933455683291,4.186826122303488e-15,0.1688333333333333,0.0344790754075261
35,5,60,6,3,inf,seq,1,"[0.7, 0.1]",0.001,2.663432728499174,0.0026242248138475,0.1921666666666666,0.0430586236878736
36,6,60,6,3,inf,seq,1,"[0.7, 0.1]",0.001,2.4994000578299165,0.0048343205262805,0.1688333333333333,0.042196375434267
37,7,60,6,3,inf,seq,1,"[0.7, 0.1]",0.001,2.5057445224374533,1.1265831360858339e-14,0.1688333333333333,0.0428023616483686
38,8,60,6,3,inf,seq,1,"[0.7, 0.1]",0.001,2.5841573607176542,0.0018029771077008,0.1805,0.038377807808826
39,9,60,6,3,inf,seq,1,"[0.7, 0.1]",0.001,2.6604294404387474,0.0051787820272938,0.1921666666666666,0.0593206104230412
40,0,80,8,3,inf,seq,1,"[0.7, 0.1]",0.001,22.88870091363788,0.0015657501353367,0.177875,0.0443711758166088
41,1,80,8,3,inf,seq,1,"[0.7, 0.1]",0.001,23.079231387004256,0.0036735471199867,0.186625,0.0378498248775881
42,2,80,8,3,inf,seq,1,"[0.7, 0.1]",0.001,23.763651529327035,0.0057658067531434,0.195375,0.0332227256952804
43,3,80,8,3,inf,seq,1,"[0.7, 0.1]",0.001,22.968558175489303,0.0034032470634761,0.186625,0.0390584665919702
44,4,80,8,3,inf,seq,1,"[0.7, 0.1]",0.001,23.851228008046743,0.005699799296163,0.195375,0.0407866700953285
45,5,80,8,3,inf,seq,1,"[0.7, 0.1]",0.001,22.935762364417315,0.0034971219118754,0.186625,0.032272182522483
46,6,80,8,3,inf,seq,1,"[0.7, 0.1]",0.001,23.6543213557452,0.0045372666641906,0.186625,0.0436937059689982
47,7,80,8,3,inf,seq,1,"[0.7, 0.1]",0.001,23.432134311646223,0.0077574466872532,0.204125,0.0343048779654637
48,8,80,8,3,inf,seq,1,"[0.7, 0.1]",0.001,22.85544272698462,0.0052568457166718,0.177875,0.0291991328123671
49,9,80,8,3,inf,seq,1,"[0.7, 0.1]",0.001,23.393837954849005,0.0034930611997465,0.186625,0.0391587212096482
50,0,90,9,3,inf,seq,1,"[0.7, 0.1]",0.001,40.98734632693231,0.0054113074933772,0.1847777777777778,0.0300565414382659
51,1,90,9,3,inf,seq,1,"[0.7, 0.1]",0.001,40.78723134286702,0.00449183418797,0.1847777777777778,0.0301425003347021
